employee_id,hotel_id,first_name,last_name,department,position,phone,email,salary
102,,Anna,Yegorova,8929104263,AnnaYegorova@mail.com,Sales and Marketing Department,Event coordinator,22329
103,4,Artem,Yegorov,8956146308,ArtemYegorov@mail.com,Front Office,Reservationist,34847
104,1,Alexandra,Volkova,8945025515,AlexandraVolkova@mail.com,Front Office,Bellhop,73107
105,1,Daniil,Sokolov,8942527020,DaniilSokolov@mail.com,Room division,Maintenance,23013
106,1,Karina,Kuznetsova,8915725426,KarinaKuznetsova@mail.com,Front Office,Receptionist,66356
107,1,Dmitry,Yegorov,8924027277,DmitryYegorov@mail.com,Front Office,Bellhop,53689
108,2,Ekaterina,Ivanova,8932247352,EkaterinaIvanova@mail.com,Technical Department,Electrician,61375
109,3,Lyudmila,Novikova,8934949931,LyudmilaNovikova@mail.com,Technical Department,IT specialist,22135
110,1,Karina,Ivanova,8935794677,KarinaIvanova@mail.com,Technical Department,Electrician,51433
111,,Yulia,Ivanova,8939417798,YuliaIvanova@mail.com,Sales and Marketing Department,Marketing manager,80053
112,4,Anastasia,Pavlova,8928679823,AnastasiaPavlova@mail.com,Room division,Housekeeping,55412
113,1,Dmitry,Lebedev,8932114696,DmitryLebedev@mail.com,Front Office,Receptionist,25320
114,4,Gleb,Mikhailov,8961861556,GlebMikhailov@mail.com,Room division,Maintenance,38481
115,3,Vasily,Ivanov,8957784174,VasilyIvanov@mail.com,Room division,Laundry,53789
116,2,Sergey,Popov,8947432518,SergeyPopov@mail.com,Technical Department,Plumber,25703
117,1,Pavel,Pavlov,8953047905,PavelPavlov@mail.com,Room division,Housekeeping,35829
118,,Tatiana,Morozova,8951576351,TatianaMorozova@mail.com,Sales and Marketing Department,Event coordinator,41491
119,3,Egor,Lebedev,8960798829,EgorLebedev@mail.com,Front Office,Reservationist,48038
120,,Maria,Lebedeva,8915833331,MariaLebedeva@mail.com,Sales and Marketing Department,Event coordinator,53716
121,3,Sergey,Pavlov,8931808062,SergeyPavlov@mail.com,Room division,Room service,59306
122,3,Evgeny,Volkov,8924122725,EvgenyVolkov@mail.com,Technical Department,Security,49470
123,3,Alina,Ivanova,8911181556,AlinaIvanova@mail.com,Technical Department,IT specialist,55715
124,3,Egor,Lebedev,8919752984,EgorLebedev@mail.com,Technical Department,Electrician,47276
125,4,Dmitry,Alekseev,8936241161,DmitryAlekseev@mail.com,Technical Department,IT specialist,35191
126,1,Victoria,Vasilieva,8942257362,VictoriaVasilieva@mail.com,Room division,Housekeeping,31090
